strategy,taskType,bandwidth,seqLen,ttftMs,tpotMs,e2eLatencyMs,kvTransferTimeMs,compressionRatio,qualityScore,bandwidthSavingPct,ttftReductionPct
None,math,High-100Gbps,8192,1212.80,11.50,2451.30,343.60,1.0000,1.0000,0.0,0.0
Uniform,math,High-100Gbps,8192,955.10,11.50,2193.60,85.90,0.2500,1.0000,75.0,21.3
PD-Aware,math,High-100Gbps,8192,895.24,11.50,2133.74,26.04,0.0758,0.8151,92.4,26.2
Task-Aware,math,High-100Gbps,8192,979.25,11.50,2217.75,110.05,0.3203,0.8315,68.0,19.3
PD-Task-Aware,math,High-100Gbps,8192,897.50,11.50,2136.00,28.30,0.0824,0.8211,91.8,26.0
QCBM,math,High-100Gbps,8192,875.91,11.50,2114.41,6.71,0.0195,0.7148,98.0,27.8
None,code,Low-1Gbps,1024,4447.37,11.50,4610.37,4294.97,1.0000,1.0000,0.0,0.0
Uniform,code,Low-1Gbps,1024,1226.14,11.50,1389.14,1073.74,0.2500,1.0000,75.0,72.4
PD-Aware,code,Low-1Gbps,1024,477.90,11.50,640.90,325.50,0.0758,0.9979,92.4,89.3
Task-Aware,code,Low-1Gbps,1024,431.95,11.50,594.95,279.55,0.0651,0.9947,93.5,90.3
PD-Task-Aware,code,Low-1Gbps,1024,473.56,11.50,636.56,321.16,0.0748,0.9970,92.5,89.3
QCBM,code,Low-1Gbps,1024,223.32,11.50,386.32,70.92,0.0165,0.9892,98.3,95.0
None,code,Low-1Gbps,4096,17639.47,11.50,18262.97,17179.87,1.0000,1.0000,0.0,0.0
Uniform,code,Low-1Gbps,4096,4754.57,11.50,5378.07,4294.97,0.2500,1.0000,75.0,73.0
PD-Aware,code,Low-1Gbps,4096,1761.62,11.50,2385.12,1302.02,0.0758,0.9979,92.4,90.0
Task-Aware,code,Low-1Gbps,4096,1577.79,11.50,2201.29,1118.19,0.0651,0.9947,93.5,91.1
PD-Task-Aware,code,Low-1Gbps,4096,1744.22,11.50,2367.72,1284.62,0.0748,0.9970,92.5,90.1
QCBM,code,Low-1Gbps,4096,743.28,11.50,1366.78,283.68,0.0165,0.9892,98.3,95.8
None,code,Low-1Gbps,8192,35228.94,11.50,36467.44,34359.74,1.0000,1.0000,0.0,0.0
Uniform,code,Low-1Gbps,8192,9459.13,11.50,10697.63,8589.93,0.2500,1.0000,75.0,73.2
PD-Aware,code,Low-1Gbps,8192,3473.24,11.50,4711.74,2604.04,0.0758,0.9979,92.4,90.1
Task-Aware,code,Low-1Gbps,8192,3105.59,11.50,4344.09,2236.39,0.0651,0.9947,93.5,91.2
PD-Task-Aware,code,Low-1Gbps,8192,3438.45,11.50,4676.95,2569.25,0.0748,0.9970,92.5,90.2
QCBM,code,Low-1Gbps,8192,1436.57,11.50,2675.07,567.37,0.0165,0.9892,98.3,95.9
None,code,Mid-10Gbps,1024,581.90,11.50,744.90,429.50,1.0000,1.0000,0.0,0.0
Uniform,code,Mid-10Gbps,1024,259.77,11.50,422.77,107.37,0.2500,1.0000,75.0,55.4
PD-Aware,code,Mid-10Gbps,1024,184.95,11.50,347.95,32.55,0.0758,0.9979,92.4,68.2
Task-Aware,code,Mid-10Gbps,1024,180.35,11.50,343.35,27.95,0.0651,0.9947,93.5,69.0
PD-Task-Aware,code,Mid-10Gbps,1024,184.52,11.50,347.52,32.12,0.0748,0.9970,92.5,68.3
QCBM,code,Mid-10Gbps,1024,159.49,11.50,322.49,7.09,0.0165,0.9892,98.3,72.6
None,code,Mid-10Gbps,4096,2177.59,11.50,2801.09,1717.99,1.0000,1.0000,0.0,0.0
