strategy,taskType,bandwidth,seqLen,ttftMs,tpotMs,e2eLatencyMs,kvTransferTimeMs,compressionRatio,qualityScore,bandwidthSavingPct,ttftReductionPct
None,math,Low-1Gbps,1024,4447.37,11.50,4610.37,4294.97,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,1024,4447.37,11.50,4610.37,4294.97,1.0000,1.0000,0.0,0.0
PD-Aware,math,Low-1Gbps,1024,2756.44,11.50,2919.44,2604.04,0.6063,0.8151,39.4,38.0
Task-Aware,math,Low-1Gbps,1024,2903.76,11.50,3066.76,2751.36,0.6406,0.8315,35.9,34.7
PD-Task-Aware,math,Low-1Gbps,1024,2982.35,11.50,3145.35,2829.95,0.6589,0.8211,34.1,32.9
QCBM,math,Low-1Gbps,1024,1494.58,11.50,1657.58,1342.18,0.3125,0.7148,68.8,66.4
None,math,Low-1Gbps,4096,17639.47,11.50,18262.97,17179.87,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,4096,17639.47,11.50,18262.97,17179.87,1.0000,1.0000,0.0,0.0
PD-Aware,math,Low-1Gbps,4096,10875.75,11.50,11499.25,10416.15,0.6063,0.8151,39.4,38.3
Task-Aware,math,Low-1Gbps,4096,11465.02,11.50,12088.52,11005.42,0.6406,0.8315,35.9,35.0
PD-Task-Aware,math,Low-1Gbps,4096,11779.42,11.50,12402.92,11319.82,0.6589,0.8211,34.1,33.2
QCBM,math,Low-1Gbps,4096,5828.31,11.50,6451.81,5368.71,0.3125,0.7148,68.8,67.0
None,math,Low-1Gbps,8192,35228.94,11.50,36467.44,34359.74,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,8192,35228.94,11.50,36467.44,34359.74,1.0000,1.0000,0.0,0.0
PD-Aware,math,Low-1Gbps,8192,21701.51,11.50,22940.01,20832.31,0.6063,0.8151,39.4,38.4
Task-Aware,math,Low-1Gbps,8192,22880.05,11.50,24118.55,22010.85,0.6406,0.8315,35.9,35.0
PD-Task-Aware,math,Low-1Gbps,8192,23508.83,11.50,24747.33,22639.63,0.6589,0.8211,34.1,33.3
QCBM,math,Low-1Gbps,8192,11606.62,11.50,12845.12,10737.42,0.3125,0.7148,68.8,67.0
None,math,Mid-10Gbps,1024,581.90,11.50,744.90,429.50,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,1024,581.90,11.50,744.90,429.50,1.0000,1.0000,0.0,0.0
PD-Aware,math,Mid-10Gbps,1024,412.80,11.50,575.80,260.40,0.6063,0.8151,39.4,29.1
Task-Aware,math,Mid-10Gbps,1024,427.54,11.50,590.54,275.14,0.6406,0.8315,35.9,26.5
PD-Task-Aware,math,Mid-10Gbps,1024,435.40,11.50,598.40,283.00,0.6589,0.8211,34.1,25.2
QCBM,math,Mid-10Gbps,1024,286.62,11.50,449.62,134.22,0.3125,0.7148,68.8,50.7
None,math,Mid-10Gbps,4096,2177.59,11.50,2801.09,1717.99,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,4096,2177.59,11.50,2801.09,1717.99,1.0000,1.0000,0.0,0.0
PD-Aware,math,Mid-10Gbps,4096,1501.22,11.50,2124.72,1041.62,0.6063,0.8151,39.4,31.1
Task-Aware,math,Mid-10Gbps,4096,1560.14,11.50,2183.64,1100.54,0.6406,0.8315,35.9,28.4
PD-Task-Aware,math,Mid-10Gbps,4096,1591.58,11.50,2215.08,1131.98,0.6589,0.8211,34.1,26.9
QCBM,math,Mid-10Gbps,4096,996.47,11.50,1619.97,536.87,0.3125,0.7148,68.8,54.2
None,math,Mid-10Gbps,8192,4305.17,11.50,5543.67,3435.97,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,8192,4305.17,11.50,5543.67,3435.97,1.0000,1.0000,0.0,0.0
PD-Aware,math,Mid-10Gbps,8192,2952.43,11.50,4190.93,2083.23,0.6063,0.8151,39.4,31.4
Task-Aware,math,Mid-10Gbps,8192,3070.28,11.50,4308.78,2201.08,0.6406,0.8315,35.9,28.7
PD-Task-Aware,math,Mid-10Gbps,8192,3133.16,11.50,4371.66,2263.96,0.6589,0.8211,34.1,27.2
QCBM,math,Mid-10Gbps,8192,1942.94,11.50,3181.44,1073.74,0.3125,0.7148,68.8,54.9
None,math,High-100Gbps,1024,195.35,11.50,358.35,42.95,1.0000,1.0000,0.0,0.0
Uniform,math,High-100Gbps,1024,195.35,11.50,358.35,42.95,1.0000,1.0000,0.0,0.0
PD-Aware,math,High-100Gbps,1024,178.44,11.50,341.44,26.04,0.6063,0.8151,39.4,8.7
Task-Aware,math,High-100Gbps,1024,179.91,11.50,342.91,27.51,0.6406,0.8315,35.9,7.9
PD-Task-Aware,math,High-100Gbps,1024,180.70,11.50,343.70,28.30,0.6589,0.8211,34.1,7.5
QCBM,math,High-100Gbps,1024,165.82,11.50,328.82,13.42,0.3125,0.7148,68.8,15.1
None,math,High-100Gbps,4096,631.40,11.50,1254.90,171.80,1.0000,1.0000,0.0,0.0
Uniform,math,High-100Gbps,4096,631.40,11.50,1254.90,171.80,1.0000,1.0000,0.0,0.0
PD-Aware,math,High-100Gbps,4096,563.76,11.50,1187.26,104.16,0.6063,0.8151,39.4,10.7
Task-Aware,math,High-100Gbps,4096,569.65,11.50,1193.15,110.05,0.6406,0.8315,35.9,9.8
PD-Task-Aware,math,High-100Gbps,4096,572.80,11.50,1196.30,113.20,0.6589,0.8211,34.1,9.3
