strategy,taskType,bandwidth,seqLen,ttftMs,tpotMs,e2eLatencyMs,kvTransferTimeMs,compressionRatio,qualityScore,bandwidthSavingPct,ttftReductionPct
None,math,Low-1Gbps,1024,4447.37,11.50,4610.37,4294.97,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,1024,1226.14,11.50,1389.14,1073.74,0.2500,1.0000,75.0,72.4
PD-Aware,math,Low-1Gbps,1024,4447.37,11.50,4610.37,4294.97,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,1024,2115.41,11.50,2278.41,1963.01,0.4571,0.9563,54.3,52.4
PD-Task-Aware,math,Low-1Gbps,1024,4326.68,11.50,4489.68,4174.28,0.9719,0.9908,2.8,2.7
QCBM,math,Low-1Gbps,1024,236.29,11.50,399.29,83.89,0.0195,0.7148,98.0,94.7
None,math,Low-1Gbps,4096,17639.47,11.50,18262.97,17179.87,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,4096,4754.57,11.50,5378.07,4294.97,0.2500,1.0000,75.0,73.0
PD-Aware,math,Low-1Gbps,4096,17639.47,11.50,18262.97,17179.87,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,4096,8311.66,11.50,8935.16,7852.06,0.4571,0.9563,54.3,52.9
PD-Task-Aware,math,Low-1Gbps,4096,17156.71,11.50,17780.21,16697.11,0.9719,0.9908,2.8,2.7
QCBM,math,Low-1Gbps,4096,795.14,11.50,1418.64,335.54,0.0195,0.7148,98.0,95.5
None,math,Low-1Gbps,8192,35228.94,11.50,36467.44,34359.74,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,8192,9459.13,11.50,10697.63,8589.93,0.2500,1.0000,75.0,73.2
PD-Aware,math,Low-1Gbps,8192,35228.94,11.50,36467.44,34359.74,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,8192,16573.32,11.50,17811.82,15704.12,0.4571,0.9563,54.3,53.0
PD-Task-Aware,math,Low-1Gbps,8192,34263.43,11.50,35501.93,33394.23,0.9719,0.9908,2.8,2.7
QCBM,math,Low-1Gbps,8192,1540.29,11.50,2778.79,671.09,0.0195,0.7148,98.0,95.6
None,math,Mid-10Gbps,1024,581.90,11.50,744.90,429.50,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,1024,259.77,11.50,422.77,107.37,0.2500,1.0000,75.0,55.4
PD-Aware,math,Mid-10Gbps,1024,581.90,11.50,744.90,429.50,1.0000,1.0000,0.0,0.0
Task-Aware,math,Mid-10Gbps,1024,348.70,11.50,511.70,196.30,0.4571,0.9563,54.3,40.1
PD-Task-Aware,math,Mid-10Gbps,1024,569.83,11.50,732.83,417.43,0.9719,0.9908,2.8,2.1
QCBM,math,Mid-10Gbps,1024,160.79,11.50,323.79,8.39,0.0195,0.7148,98.0,72.4
None,math,Mid-10Gbps,4096,2177.59,11.50,2801.09,1717.99,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,4096,889.10,11.50,1512.60,429.50,0.2500,1.0000,75.0,59.2
PD-Aware,math,Mid-10Gbps,4096,2177.59,11.50,2801.09,1717.99,1.0000,1.0000,0.0,0.0
Task-Aware,math,Mid-10Gbps,4096,1244.81,11.50,1868.31,785.21,0.4571,0.9563,54.3,42.8
PD-Task-Aware,math,Mid-10Gbps,4096,2129.31,11.50,2752.81,1669.71,0.9719,0.9908,2.8,2.2
