strategy,taskType,bandwidth,seqLen,ttftMs,tpotMs,e2eLatencyMs,kvTransferTimeMs,compressionRatio,qualityScore,bandwidthSavingPct,ttftReductionPct
None,math,Low-1Gbps,1024,286.62,11.50,449.62,134.22,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,1024,185.95,11.50,348.95,33.55,0.2500,1.0000,75.0,35.1
PD-Aware,math,Low-1Gbps,1024,286.62,11.50,449.62,134.22,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,1024,213.74,11.50,376.74,61.34,0.4571,0.9563,54.3,25.4
PD-Task-Aware,math,Low-1Gbps,1024,282.85,11.50,445.85,130.45,0.9719,0.9908,2.8,1.3
QCBM,math,Low-1Gbps,1024,155.02,11.50,318.02,2.62,0.0195,0.7148,98.0,45.9
None,math,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,4096,593.82,11.50,1217.32,134.22,0.2500,1.0000,75.0,40.4
PD-Aware,math,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,4096,704.98,11.50,1328.48,245.38,0.4571,0.9563,54.3,29.3
PD-Task-Aware,math,Low-1Gbps,4096,981.38,11.50,1604.88,521.78,0.9719,0.9908,2.8,1.5
QCBM,math,Low-1Gbps,4096,470.09,11.50,1093.59,10.49,0.0195,0.7148,98.0,52.8
None,math,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,8192,1137.64,11.50,2376.14,268.44,0.2500,1.0000,75.0,41.5
PD-Aware,math,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,8192,1359.95,11.50,2598.45,490.75,0.4571,0.9563,54.3,30.0
PD-Task-Aware,math,Low-1Gbps,8192,1912.77,11.50,3151.27,1043.57,0.9719,0.9908,2.8,1.6
QCBM,math,Low-1Gbps,8192,890.17,11.50,2128.67,20.97,0.0195,0.7148,98.0,54.2
None,math,Mid-10Gbps,1024,165.82,11.50,328.82,13.42,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,1024,155.76,11.50,318.76,3.36,0.2500,1.0000,75.0,6.1
PD-Aware,math,Mid-10Gbps,1024,165.82,11.50,328.82,13.42,1.0000,1.0000,0.0,0.0
Task-Aware,math,Mid-10Gbps,1024,158.53,11.50,321.53,6.13,0.4571,0.9563,54.3,4.4
PD-Task-Aware,math,Mid-10Gbps,1024,165.44,11.50,328.44,13.04,0.9719,0.9908,2.8,0.2
QCBM,math,Mid-10Gbps,1024,152.66,11.50,315.66,0.26,0.0195,0.7148,98.0,7.9
None,math,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,4096,473.02,11.50,1096.52,13.42,0.2500,1.0000,75.0,7.8
PD-Aware,math,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Task-Aware,math,Mid-10Gbps,4096,484.14,11.50,1107.64,24.54,0.4571,0.9563,54.3,5.7
PD-Task-Aware,math,Mid-10Gbps,4096,511.78,11.50,1135.28,52.18,0.9719,0.9908,2.8,0.3
QCBM,math,Mid-10Gbps,4096,460.65,11.50,1084.15,1.05,0.0195,0.7148,98.0,10.3
None,math,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,8192,896.04,11.50,2134.54,26.84,0.2500,1.0000,75.0,8.3
PD-Aware,math,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Task-Aware,math,Mid-10Gbps,8192,918.28,11.50,2156.78,49.08,0.4571,0.9563,54.3,6.0
PD-Task-Aware,math,Mid-10Gbps,8192,973.56,11.50,2212.06,104.36,0.9719,0.9908,2.8,0.3
QCBM,math,Mid-10Gbps,8192,871.30,11.50,2109.80,2.10,0.0195,0.7148,98.0,10.8
