strategy,taskType,bandwidth,seqLen,ttftMs,tpotMs,e2eLatencyMs,kvTransferTimeMs,compressionRatio,qualityScore,bandwidthSavingPct,ttftReductionPct
None,math,High-100Gbps,1024,153.74,11.50,316.74,1.34,1.0000,1.0000,0.0,0.0
Uniform,math,High-100Gbps,1024,152.74,11.50,315.74,0.34,0.2500,1.0000,75.0,0.7
PD-Aware,math,High-100Gbps,1024,153.74,11.50,316.74,1.34,1.0000,1.0000,0.0,0.0
Task-Aware,math,High-100Gbps,1024,153.01,11.50,316.01,0.61,0.4571,0.9563,54.3,0.5
PD-Task-Aware,math,High-100Gbps,1024,153.70,11.50,316.70,1.30,0.9719,0.9908,2.8,0.0
QCBM,math,High-100Gbps,1024,152.43,11.50,315.43,0.03,0.0195,0.7148,98.0,0.9
None,math,High-100Gbps,4096,464.97,11.50,1088.47,5.37,1.0000,1.0000,0.0,0.0
Uniform,math,High-100Gbps,4096,460.94,11.50,1084.44,1.34,0.2500,1.0000,75.0,0.9
PD-Aware,math,High-100Gbps,4096,464.97,11.50,1088.47,5.37,1.0000,1.0000,0.0,0.0
Task-Aware,math,High-100Gbps,4096,462.05,11.50,1085.55,2.45,0.4571,0.9563,54.3,0.6
PD-Task-Aware,math,High-100Gbps,4096,464.82,11.50,1088.32,5.22,0.9719,0.9908,2.8,0.0
QCBM,math,High-100Gbps,4096,459.70,11.50,1083.20,0.10,0.0195,0.7148,98.0,1.1
None,math,High-100Gbps,8192,879.94,11.50,2118.44,10.74,1.0000,1.0000,0.0,0.0
Uniform,math,High-100Gbps,8192,871.88,11.50,2110.38,2.68,0.2500,1.0000,75.0,0.9
PD-Aware,math,High-100Gbps,8192,879.94,11.50,2118.44,10.74,1.0000,1.0000,0.0,0.0
Task-Aware,math,High-100Gbps,8192,874.11,11.50,2112.61,4.91,0.4571,0.9563,54.3,0.7
PD-Task-Aware,math,High-100Gbps,8192,879.64,11.50,2118.14,10.44,0.9719,0.9908,2.8,0.0
QCBM,math,High-100Gbps,8192,869.41,11.50,2107.91,0.21,0.0195,0.7148,98.0,1.2
None,code,Low-1Gbps,1024,286.62,11.50,449.62,134.22,1.0000,1.0000,0.0,0.0
Uniform,code,Low-1Gbps,1024,185.95,11.50,348.95,33.55,0.2500,1.0000,75.0,35.1
PD-Aware,code,Low-1Gbps,1024,286.62,11.50,449.62,134.22,1.0000,1.0000,0.0,0.0
Task-Aware,code,Low-1Gbps,1024,165.72,11.50,328.72,13.32,0.0992,0.9962,90.1,42.2
PD-Task-Aware,code,Low-1Gbps,1024,282.00,11.50,445.00,129.60,0.9656,0.9993,3.4,1.6
QCBM,code,Low-1Gbps,1024,154.62,11.50,317.62,2.22,0.0165,0.9892,98.3,46.0
None,code,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Uniform,code,Low-1Gbps,4096,593.82,11.50,1217.32,134.22,0.2500,1.0000,75.0,40.4
PD-Aware,code,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Task-Aware,code,Low-1Gbps,4096,512.86,11.50,1136.36,53.26,0.0992,0.9962,90.1,48.5
PD-Task-Aware,code,Low-1Gbps,4096,978.00,11.50,1601.50,518.40,0.9656,0.9993,3.4,1.9
QCBM,code,Low-1Gbps,4096,468.47,11.50,1091.97,8.87,0.0165,0.9892,98.3,53.0
None,code,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Uniform,code,Low-1Gbps,8192,1137.64,11.50,2376.14,268.44,0.2500,1.0000,75.0,41.5
PD-Aware,code,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Task-Aware,code,Low-1Gbps,8192,975.73,11.50,2214.23,106.53,0.0992,0.9962,90.1,49.8
PD-Task-Aware,code,Low-1Gbps,8192,1906.01,11.50,3144.51,1036.81,0.9656,0.9993,3.4,1.9
QCBM,code,Low-1Gbps,8192,886.93,11.50,2125.43,17.73,0.0165,0.9892,98.3,54.4
None,code,Mid-10Gbps,1024,165.82,11.50,328.82,13.42,1.0000,1.0000,0.0,0.0
Uniform,code,Mid-10Gbps,1024,155.76,11.50,318.76,3.36,0.2500,1.0000,75.0,6.1
PD-Aware,code,Mid-10Gbps,1024,165.82,11.50,328.82,13.42,1.0000,1.0000,0.0,0.0
Task-Aware,code,Mid-10Gbps,1024,153.73,11.50,316.73,1.33,0.0992,0.9962,90.1,7.3
PD-Task-Aware,code,Mid-10Gbps,1024,165.36,11.50,328.36,12.96,0.9656,0.9993,3.4,0.3
QCBM,code,Mid-10Gbps,1024,152.62,11.50,315.62,0.22,0.0165,0.9892,98.3,8.0
None,code,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Uniform,code,Mid-10Gbps,4096,473.02,11.50,1096.52,13.42,0.2500,1.0000,75.0,7.8
PD-Aware,code,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Task-Aware,code,Mid-10Gbps,4096,464.93,11.50,1088.43,5.33,0.0992,0.9962,90.1,9.4
PD-Task-Aware,code,Mid-10Gbps,4096,511.44,11.50,1134.94,51.84,0.9656,0.9993,3.4,0.4
QCBM,code,Mid-10Gbps,4096,460.49,11.50,1083.99,0.89,0.0165,0.9892,98.3,10.3
None,code,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Uniform,code,Mid-10Gbps,8192,896.04,11.50,2134.54,26.84,0.2500,1.0000,75.0,8.3
PD-Aware,code,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Task-Aware,code,Mid-10Gbps,8192,879.85,11.50,2118.35,10.65,0.0992,0.9962,90.1,9.9
PD-Task-Aware,code,Mid-10Gbps,8192,972.88,11.50,2211.38,103.68,0.9656,0.9993,3.4,0.4
QCBM,code,Mid-10Gbps,8192,870.97,11.50,2109.47,1.77,0.0165,0.9892,98.3,10.8
None,code,High-100Gbps,1024,153.74,11.50,316.74,1.34,1.0000,1.0000,0.0,0.0
Uniform,code,High-100Gbps,1024,152.74,11.50,315.74,0.34,0.2500,1.0000,75.0,0.7
PD-Aware,code,High-100Gbps,1024,153.74,11.50,316.74,1.34,1.0000,1.0000,0.0,0.0
Task-Aware,code,High-100Gbps,1024,152.53,11.50,315.53,0.13,0.0992,0.9962,90.1,0.8
PD-Task-Aware,code,High-100Gbps,1024,153.70,11.50,316.70,1.30,0.9656,0.9993,3.4,0.0
QCBM,code,High-100Gbps,1024,152.42,11.50,315.42,0.02,0.0165,0.9892,98.3,0.9
None,code,High-100Gbps,4096,464.97,11.50,1088.47,5.37,1.0000,1.0000,0.0,0.0
Uniform,code,High-100Gbps,4096,460.94,11.50,1084.44,1.34,0.2500,1.0000,75.0,0.9
PD-Aware,code,High-100Gbps,4096,464.97,11.50,1088.47,5.37,1.0000,1.0000,0.0,0.0
Task-Aware,code,High-100Gbps,4096,460.13,11.50,1083.63,0.53,0.0992,0.9962,90.1,1.0
PD-Task-Aware,code,High-100Gbps,4096,464.78,11.50,1088.28,5.18,0.9656,0.9993,3.4,0.0
QCBM,code,High-100Gbps,4096,459.69,11.50,1083.19,0.09,0.0165,0.9892,98.3,1.1
None,code,High-100Gbps,8192,879.94,11.50,2118.44,10.74,1.0000,1.0000,0.0,0.0
Uniform,code,High-100Gbps,8192,871.88,11.50,2110.38,2.68,0.2500,1.0000,75.0,0.9
PD-Aware,code,High-100Gbps,8192,879.94,11.50,2118.44,10.74,1.0000,1.0000,0.0,0.0
Task-Aware,code,High-100Gbps,8192,870.27,11.50,2108.77,1.07,0.0992,0.9962,90.1,1.1
PD-Task-Aware,code,High-100Gbps,8192,879.57,11.50,2118.07,10.37,0.9656,0.9993,3.4,0.0
QCBM,code,High-100Gbps,8192,869.38,11.50,2107.88,0.18,0.0165,0.9892,98.3,1.2
None,qa,Low-1Gbps,1024,286.62,11.50,449.62,134.22,1.0000,1.0000,0.0,0.0
Uniform,qa,Low-1Gbps,1024,185.95,11.50,348.95,33.55,0.2500,1.0000,75.0,35.1
PD-Aware,qa,Low-1Gbps,1024,286.62,11.50,449.62,134.22,1.0000,1.0000,0.0,0.0
Task-Aware,qa,Low-1Gbps,1024,214.18,11.50,377.18,61.78,0.4603,0.9757,54.0,25.3
PD-Task-Aware,qa,Low-1Gbps,1024,284.05,11.50,447.05,131.65,0.9809,0.9954,1.9,0.9
QCBM,qa,Low-1Gbps,1024,155.14,11.50,318.14,2.74,0.0204,0.8611,98.0,45.9
None,qa,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Uniform,qa,Low-1Gbps,4096,593.82,11.50,1217.32,134.22,0.2500,1.0000,75.0,40.4
PD-Aware,qa,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Task-Aware,qa,Low-1Gbps,4096,706.72,11.50,1330.22,247.12,0.4603,0.9757,54.0,29.1
PD-Task-Aware,qa,Low-1Gbps,4096,986.22,11.50,1609.72,526.62,0.9809,0.9954,1.9,1.0
QCBM,qa,Low-1Gbps,4096,470.57,11.50,1094.07,10.97,0.0204,0.8611,98.0,52.8
None,qa,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Uniform,qa,Low-1Gbps,8192,1137.64,11.50,2376.14,268.44,0.2500,1.0000,75.0,41.5
PD-Aware,qa,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Task-Aware,qa,Low-1Gbps,8192,1363.44,11.50,2601.94,494.24,0.4603,0.9757,54.0,29.8
PD-Task-Aware,qa,Low-1Gbps,8192,1922.43,11.50,3160.93,1053.23,0.9809,0.9954,1.9,1.1
QCBM,qa,Low-1Gbps,8192,891.14,11.50,2129.64,21.94,0.0204,0.8611,98.0,54.1
None,qa,Mid-10Gbps,1024,165.82,11.50,328.82,13.42,1.0000,1.0000,0.0,0.0
Uniform,qa,Mid-10Gbps,1024,155.76,11.50,318.76,3.36,0.2500,1.0000,75.0,6.1
PD-Aware,qa,Mid-10Gbps,1024,165.82,11.50,328.82,13.42,1.0000,1.0000,0.0,0.0
Task-Aware,qa,Mid-10Gbps,1024,158.58,11.50,321.58,6.18,0.4603,0.9757,54.0,4.4
PD-Task-Aware,qa,Mid-10Gbps,1024,165.57,11.50,328.57,13.17,0.9809,0.9954,1.9,0.1
QCBM,qa,Mid-10Gbps,1024,152.67,11.50,315.67,0.27,0.0204,0.8611,98.0,7.9
None,qa,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Uniform,qa,Mid-10Gbps,4096,473.02,11.50,1096.52,13.42,0.2500,1.0000,75.0,7.8
PD-Aware,qa,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Task-Aware,qa,Mid-10Gbps,4096,484.31,11.50,1107.81,24.71,0.4603,0.9757,54.0,5.6
PD-Task-Aware,qa,Mid-10Gbps,4096,512.26,11.50,1135.76,52.66,0.9809,0.9954,1.9,0.2
QCBM,qa,Mid-10Gbps,4096,460.70,11.50,1084.20,1.10,0.0204,0.8611,98.0,10.3
None,qa,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Uniform,qa,Mid-10Gbps,8192,896.04,11.50,2134.54,26.84,0.2500,1.0000,75.0,8.3
PD-Aware,qa,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Task-Aware,qa,Mid-10Gbps,8192,918.62,11.50,2157.12,49.42,0.4603,0.9757,54.0,5.9
PD-Task-Aware,qa,Mid-10Gbps,8192,974.52,11.50,2213.02,105.32,0.9809,0.9954,1.9,0.2
QCBM,qa,Mid-10Gbps,8192,871.39,11.50,2109.89,2.19,0.0204,0.8611,98.0,10.8
None,qa,High-100Gbps,1024,153.74,11.50,316.74,1.34,1.0000,1.0000,0.0,0.0
Uniform,qa,High-100Gbps,1024,152.74,11.50,315.74,0.34,0.2500,1.0000,75.0,0.7
PD-Aware,qa,High-100Gbps,1024,153.74,11.50,316.74,1.34,1.0000,1.0000,0.0,0.0
Task-Aware,qa,High-100Gbps,1024,153.02,11.50,316.02,0.62,0.4603,0.9757,54.0,0.5
PD-Task-Aware,qa,High-100Gbps,1024,153.72,11.50,316.72,1.32,0.9809,0.9954,1.9,0.0
QCBM,qa,High-100Gbps,1024,152.43,11.50,315.43,0.03,0.0204,0.8611,98.0,0.9
None,qa,High-100Gbps,4096,464.97,11.50,1088.47,5.37,1.0000,1.0000,0.0,0.0
Uniform,qa,High-100Gbps,4096,460.94,11.50,1084.44,1.34,0.2500,1.0000,75.0,0.9
PD-Aware,qa,High-100Gbps,4096,464.97,11.50,1088.47,5.37,1.0000,1.0000,0.0,0.0
Task-Aware,qa,High-100Gbps,4096,462.07,11.50,1085.57,2.47,0.4603,0.9757,54.0,0.6
PD-Task-Aware,qa,High-100Gbps,4096,464.87,11.50,1088.37,5.27,0.9809,0.9954,1.9,0.0
QCBM,qa,High-100Gbps,4096,459.71,11.50,1083.21,0.11,0.0204,0.8611,98.0,1.1
None,qa,High-100Gbps,8192,879.94,11.50,2118.44,10.74,1.0000,1.0000,0.0,0.0
Uniform,qa,High-100Gbps,8192,871.88,11.50,2110.38,2.68,0.2500,1.0000,75.0,0.9
PD-Aware,qa,High-100Gbps,8192,879.94,11.50,2118.44,10.74,1.0000,1.0000,0.0,0.0
Task-Aware,qa,High-100Gbps,8192,874.14,11.50,2112.64,4.94,0.4603,0.9757,54.0,0.7
PD-Task-Aware,qa,High-100Gbps,8192,879.73,11.50,2118.23,10.53,0.9809,0.9954,1.9,0.0
QCBM,qa,High-100Gbps,8192,869.42,11.50,2107.92,0.22,0.0204,0.8611,98.0,1.2
None,conversation,Low-1Gbps,1024,286.62,11.50,449.62,134.22,1.0000,1.0000,0.0,0.0
Uniform,conversation,Low-1Gbps,1024,185.95,11.50,348.95,33.55,0.2500,1.0000,75.0,35.1
PD-Aware,conversation,Low-1Gbps,1024,286.62,11.50,449.62,134.22,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,Low-1Gbps,1024,185.95,11.50,348.95,33.55,0.2500,1.0000,75.0,35.1
PD-Task-Aware,conversation,Low-1Gbps,1024,285.28,11.50,448.28,132.88,0.9900,0.9991,1.0,0.5
QCBM,conversation,Low-1Gbps,1024,154.82,11.50,317.82,2.42,0.0180,0.8936,98.2,46.0
None,conversation,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Uniform,conversation,Low-1Gbps,4096,593.82,11.50,1217.32,134.22,0.2500,1.0000,75.0,40.4
PD-Aware,conversation,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,Low-1Gbps,4096,593.82,11.50,1217.32,134.22,0.2500,1.0000,75.0,40.4
PD-Task-Aware,conversation,Low-1Gbps,4096,991.10,11.50,1614.60,531.50,0.9900,0.9991,1.0,0.5
QCBM,conversation,Low-1Gbps,4096,469.28,11.50,1092.78,9.68,0.0180,0.8936,98.2,52.9
None,conversation,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Uniform,conversation,Low-1Gbps,8192,1137.64,11.50,2376.14,268.44,0.2500,1.0000,75.0,41.5
PD-Aware,conversation,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,Low-1Gbps,8192,1137.64,11.50,2376.14,268.44,0.2500,1.0000,75.0,41.5
PD-Task-Aware,conversation,Low-1Gbps,8192,1932.20,11.50,3170.70,1063.00,0.9900,0.9991,1.0,0.6
QCBM,conversation,Low-1Gbps,8192,888.55,11.50,2127.05,19.35,0.0180,0.8936,98.2,54.3
None,conversation,Mid-10Gbps,1024,165.82,11.50,328.82,13.42,1.0000,1.0000,0.0,0.0
Uniform,conversation,Mid-10Gbps,1024,155.76,11.50,318.76,3.36,0.2500,1.0000,75.0,6.1
PD-Aware,conversation,Mid-10Gbps,1024,165.82,11.50,328.82,13.42,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,Mid-10Gbps,1024,155.76,11.50,318.76,3.36,0.2500,1.0000,75.0,6.1
PD-Task-Aware,conversation,Mid-10Gbps,1024,165.69,11.50,328.69,13.29,0.9900,0.9991,1.0,0.1
QCBM,conversation,Mid-10Gbps,1024,152.64,11.50,315.64,0.24,0.0180,0.8936,98.2,8.0
None,conversation,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Uniform,conversation,Mid-10Gbps,4096,473.02,11.50,1096.52,13.42,0.2500,1.0000,75.0,7.8
PD-Aware,conversation,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,Mid-10Gbps,4096,473.02,11.50,1096.52,13.42,0.2500,1.0000,75.0,7.8
PD-Task-Aware,conversation,Mid-10Gbps,4096,512.75,11.50,1136.25,53.15,0.9900,0.9991,1.0,0.1
QCBM,conversation,Mid-10Gbps,4096,460.57,11.50,1084.07,0.97,0.0180,0.8936,98.2,10.3
None,conversation,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Uniform,conversation,Mid-10Gbps,8192,896.04,11.50,2134.54,26.84,0.2500,1.0000,75.0,8.3
PD-Aware,conversation,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,Mid-10Gbps,8192,896.04,11.50,2134.54,26.84,0.2500,1.0000,75.0,8.3
PD-Task-Aware,conversation,Mid-10Gbps,8192,975.50,11.50,2214.00,106.30,0.9900,0.9991,1.0,0.1
QCBM,conversation,Mid-10Gbps,8192,871.14,11.50,2109.64,1.94,0.0180,0.8936,98.2,10.8
None,conversation,High-100Gbps,1024,153.74,11.50,316.74,1.34,1.0000,1.0000,0.0,0.0
Uniform,conversation,High-100Gbps,1024,152.74,11.50,315.74,0.34,0.2500,1.0000,75.0,0.7
PD-Aware,conversation,High-100Gbps,1024,153.74,11.50,316.74,1.34,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,High-100Gbps,1024,152.74,11.50,315.74,0.34,0.2500,1.0000,75.0,0.7
PD-Task-Aware,conversation,High-100Gbps,1024,153.73,11.50,316.73,1.33,0.9900,0.9991,1.0,0.0
QCBM,conversation,High-100Gbps,1024,152.42,11.50,315.42,0.02,0.0180,0.8936,98.2,0.9
None,conversation,High-100Gbps,4096,464.97,11.50,1088.47,5.37,1.0000,1.0000,0.0,0.0
Uniform,conversation,High-100Gbps,4096,460.94,11.50,1084.44,1.34,0.2500,1.0000,75.0,0.9
PD-Aware,conversation,High-100Gbps,4096,464.97,11.50,1088.47,5.37,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,High-100Gbps,4096,460.94,11.50,1084.44,1.34,0.2500,1.0000,75.0,0.9
PD-Task-Aware,conversation,High-100Gbps,4096,464.92,11.50,1088.41,5.32,0.9900,0.9991,1.0,0.0
QCBM,conversation,High-100Gbps,4096,459.70,11.50,1083.20,0.10,0.0180,0.8936,98.2,1.1
None,conversation,High-100Gbps,8192,879.94,11.50,2118.44,10.74,1.0000,1.0000,0.0,0.0
Uniform,conversation,High-100Gbps,8192,871.88,11.50,2110.38,2.68,0.2500,1.0000,75.0,0.9
PD-Aware,conversation,High-100Gbps,8192,879.94,11.50,2118.44,10.74,1.0000,1.0000,0.0,0.0
Task-Aware,conversation,High-100Gbps,8192,871.88,11.50,2110.38,2.68,0.2500,1.0000,75.0,0.9
PD-Task-Aware,conversation,High-100Gbps,8192,879.83,11.50,2118.33,10.63,0.9900,0.9991,1.0,0.0
QCBM,conversation,High-100Gbps,8192,869.39,11.50,2107.89,0.19,0.0180,0.8936,98.2,1.2
