strategy,taskType,bandwidth,seqLen,ttftMs,tpotMs,e2eLatencyMs,kvTransferTimeMs,compressionRatio,qualityScore,bandwidthSavingPct,ttftReductionPct
None,math,Low-1Gbps,2048,523.24,11.50,839.24,268.44,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,2048,321.91,11.50,637.91,67.11,0.2500,1.0000,75.0,38.5
PD-Aware,math,Low-1Gbps,2048,523.24,11.50,839.24,268.44,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,2048,377.49,11.50,693.49,122.69,0.4571,0.9563,54.3,27.9
PD-Task-Aware,math,Low-1Gbps,2048,515.69,11.50,831.69,260.89,0.9719,0.9908,2.8,1.4
QCBM,math,Low-1Gbps,2048,260.04,11.50,576.04,5.24,0.0195,0.7148,98.0,50.3
None,math,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,4096,593.82,11.50,1217.32,134.22,0.2500,1.0000,75.0,40.4
PD-Aware,math,Low-1Gbps,4096,996.47,11.50,1619.97,536.87,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,4096,704.98,11.50,1328.48,245.38,0.4571,0.9563,54.3,29.3
PD-Task-Aware,math,Low-1Gbps,4096,981.38,11.50,1604.88,521.78,0.9719,0.9908,2.8,1.5
QCBM,math,Low-1Gbps,4096,470.09,11.50,1093.59,10.49,0.0195,0.7148,98.0,52.8
None,math,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,8192,1137.64,11.50,2376.14,268.44,0.2500,1.0000,75.0,41.5
PD-Aware,math,Low-1Gbps,8192,1942.94,11.50,3181.44,1073.74,1.0000,1.0000,0.0,0.0
Task-Aware,math,Low-1Gbps,8192,1359.95,11.50,2598.45,490.75,0.4571,0.9563,54.3,30.0
PD-Task-Aware,math,Low-1Gbps,8192,1912.77,11.50,3151.27,1043.57,0.9719,0.9908,2.8,1.6
QCBM,math,Low-1Gbps,8192,890.17,11.50,2128.67,20.97,0.0195,0.7148,98.0,54.2
None,math,Low-1Gbps,16384,3835.88,11.50,6302.88,2147.48,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,16384,2188.39,11.50,4655.39,499.99,0.2328,0.9718,76.7,43.0
PD-Aware,math,Low-1Gbps,16384,2973.02,11.50,5440.02,1284.62,0.5982,0.8742,40.2,22.5
Task-Aware,math,Low-1Gbps,16384,2368.40,11.50,4835.40,680.00,0.3167,0.8293,68.3,38.3
PD-Task-Aware,math,Low-1Gbps,16384,3085.98,11.50,5552.98,1397.58,0.6508,0.8759,34.9,19.6
QCBM,math,Low-1Gbps,16384,1730.34,11.50,4197.34,41.94,0.0195,0.7148,98.0,54.9
None,math,Low-1Gbps,32768,7621.77,11.50,12545.77,4294.97,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,32768,3826.84,11.50,8750.84,500.04,0.1164,0.7810,88.4,49.8
PD-Aware,math,Low-1Gbps,32768,3910.38,11.50,8834.38,583.58,0.1359,0.8146,86.4,48.7
Task-Aware,math,Low-1Gbps,32768,4579.43,11.50,9503.43,1252.63,0.2917,0.8144,70.8,39.9
PD-Task-Aware,math,Low-1Gbps,32768,3966.21,11.50,8890.21,639.41,0.1489,0.8204,85.1,48.0
QCBM,math,Low-1Gbps,32768,3410.69,11.50,8334.69,83.89,0.0195,0.7148,98.0,55.3
None,math,Mid-10Gbps,2048,281.64,11.50,597.64,26.84,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,2048,261.51,11.50,577.51,6.71,0.2500,1.0000,75.0,7.2
PD-Aware,math,Mid-10Gbps,2048,281.64,11.50,597.64,26.84,1.0000,1.0000,0.0,0.0
Task-Aware,math,Mid-10Gbps,2048,267.07,11.50,583.07,12.27,0.4571,0.9563,54.3,5.2
PD-Task-Aware,math,Mid-10Gbps,2048,280.89,11.50,596.89,26.09,0.9719,0.9908,2.8,0.3
QCBM,math,Mid-10Gbps,2048,255.32,11.50,571.32,0.52,0.0195,0.7148,98.0,9.3
None,math,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,4096,473.02,11.50,1096.52,13.42,0.2500,1.0000,75.0,7.8
PD-Aware,math,Mid-10Gbps,4096,513.29,11.50,1136.79,53.69,1.0000,1.0000,0.0,0.0
Task-Aware,math,Mid-10Gbps,4096,484.14,11.50,1107.64,24.54,0.4571,0.9563,54.3,5.7
PD-Task-Aware,math,Mid-10Gbps,4096,511.78,11.50,1135.28,52.18,0.9719,0.9908,2.8,0.3
QCBM,math,Mid-10Gbps,4096,460.65,11.50,1084.15,1.05,0.0195,0.7148,98.0,10.3
None,math,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,8192,896.04,11.50,2134.54,26.84,0.2500,1.0000,75.0,8.3
PD-Aware,math,Mid-10Gbps,8192,976.57,11.50,2215.07,107.37,1.0000,1.0000,0.0,0.0
Task-Aware,math,Mid-10Gbps,8192,918.28,11.50,2156.78,49.08,0.4571,0.9563,54.3,6.0
